用例编号,所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
25373,/市场营销(#444),验证市场营销界面布局,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块",查看市场营销界面布局,市场营销界面与SRS界面原型保持一致,3,功能测试,"
功能测试阶段"
25374,/市场营销(#444),查看页面是否为加密状态,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块",查看市场营销页面,页面记录姓名、电话号码、qq号码以*代替,2,功能测试,"
功能测试阶段"
25375,/市场营销(#444),解密后查看页面显示,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块",查看市场营销页面,姓名、电话号码、qq号码字段正常显示,3,功能测试,"
功能测试阶段"
25376,/市场营销(#444),新增网络资源不输入信息进行新增,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击新增网络按钮
2、不输入信息点击保存","1、打开新增网络资源页面
2、无法保存，提示区域、部门不能为空",2,功能测试,"
功能测试阶段"
25377,/市场营销(#444),根据区域查询简历,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1.选择区域为成都，状态为全部，时间为空
2.点击查询","1、选择成功
2、显示区域为成都的所有记录",2,功能测试,"
功能测试阶段"
25378,/市场营销(#444),根据状态查询简历,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1.选择区域为全部，状态为新入库，时间为空
2.点击查询","1、选择成功
2、显示状态为新入库的所有记录",2,功能测试,"
功能测试阶段"
25379,/市场营销(#444),根据时间查询简历,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1.选择区域为全部，状态为全部，时间为2019-01-01至2020-01-01
2.点击查询","1、选择成功
2、显示入库时间为2019-01-01至2020-01-01的所有记录",2,功能测试,"
功能测试阶段"
25380,/市场营销(#444),根据区域、状态、入库时间组合查询,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1.选择区域为成都，状态为新入库，时间为2019-01-01至2020-01-01
2.点击查询","1、选择成功
2、显示区域为成都、状态为新入库、入库时间为2019-01-01至2020-01-01的所有记录",2,功能测试,"
功能测试阶段"
25381,/市场营销(#444),查看上传专属简历页面显示,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块",点击上传专属按钮，查看上传专属页面,打开上传专属简历页面，与SRS上界面原型保持一致,2,功能测试,"
功能测试阶段"
25382,/市场营销(#444),上传专属简历,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1.点击上传专属按钮，
2.选择区域成都，部门为就业部，选择格式正确的后缀名为.xls的Excel文件
3.点击提交按钮","1、打开上传专属简历页面
2、选择成功
3、上传完成后返回上传详细结果",2,功能测试,"
功能测试阶段"
25383,/市场营销(#444),选择简历文件点击提交,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击上传专属按钮
2、选择区域为全部，部门为全部，选择文件以.xls后缀的文件，点击提交","1、打开上传专属页面
2、上传完成后返回上传详细结果",2,功能测试,"
功能测试阶段"
25384,/市场营销(#444),上传专属简历页面点击x按钮,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击上传专属按钮
2、点击x按钮","1、打开上传专属页面
2、上传专属简历页面关闭",2,功能测试,"
功能测试阶段"
25385,/市场营销(#444),不选择简历文件点击提交,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击上传专属按钮
2、选择区域为成都，部门默认，点击提交按钮","1、打开上传专属页面
2、弹窗提示您没有选择要上传的文件",2,功能测试,"
功能测试阶段"
25386,/市场营销(#444),上传专属简历提交成功，弹窗系统提示点击x按钮,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击上传专属按钮
2、选择区域为成都，部门为咨询部，选择文件以.xls后缀的文件，点击提交
3、点击x按钮","1、打开上传专属页面
2、上传完成后返回上传详细结果
3、返回上传专属简历页面",2,功能测试,"
功能测试阶段"
25387,/市场营销(#444),上传专属简历提交成功，弹窗系统提示点击确定按钮,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击上传专属按钮
2、选择区域为成都，部门为咨询部，选择文件以.xls后缀的文件，点击提交
3、点击确定按钮","1、打开上传专属页面
2、上传完成后返回上传详细结果
3、返回市场营销主页面",2,功能测试,"
功能测试阶段"
25388,/市场营销(#444),区域选择全部上传简历,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1.点击上传专属按钮，
2.选择区域全部，部门为全部，选择格式正确的后缀名为.xls的Excel文件
3.点击提交","1、打开上传专属页面
2、选择成功
3、上传专属简历失败",2,功能测试,"
功能测试阶段"
25389,/市场营销(#444),Excel文件格式错误上传简历,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1.点击上传专属按钮，打开上传专属简历窗口
2.选择区域成都，部门为就业部，选择格式错误的后缀名为.xls的Excel文件
3.点击提交","1、打开上传专属页面
2、提示选择文件格式错误
3、上传专属简历失败",2,功能测试,"
功能测试阶段"
25390,/市场营销(#444),其他文件格式上传简历,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1.点击上传专属按钮，打开上传专属简历窗口
2.选择区域成都，部门为就业部，选择其他格式文件
3.点击提交","1、打开上传专属页面
2、提示选择文件格式错误
3、上传专属简历失败",2,功能测试,"
功能测试阶段"
25391,/市场营销(#444),读取邮箱,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块",点击读取邮箱,弹窗提示“确认从邮箱读取简历吗？”,2,功能测试,"
功能测试阶段"
25392,/市场营销(#444),读取邮箱弹窗提示点击取消按钮,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击读取邮箱
2、点击取消按钮","1、弹窗提示“确认从邮箱读取简历吗？”
2、关闭提示信息弹窗",2,功能测试,"
功能测试阶段"
25393,/市场营销(#444),读取邮箱弹窗提示点击x按钮,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击读取邮箱
2、点击x按钮","1、弹窗提示“确认从邮箱读取简历吗？”
2、关闭提示信息弹窗",2,功能测试,"
功能测试阶段"
25394,/市场营销(#444),读取邮箱弹窗提示点击确定按钮,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击读取邮箱
2、点击确定按钮","1、弹窗提示“确认从邮箱读取简历吗？”
2、关闭提示信息弹窗，从邮箱中读取简历",2,功能测试,"
功能测试阶段"
25395,/市场营销(#444),打开新增网络资源窗口,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块",点击新增网络,打开新增网络资源窗口,2,功能测试,"
功能测试阶段"
25396,/市场营销(#444),新增网络资源输入正确信息新增,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击新增网络
2、选择区域：成都
3、选择部门：管理部
4、输入电话：13456556748
5、输入姓名：小爱
6、选择性别：女
7、选择最新状态：新入库
8、输入邮箱：1016738236@qq.com
9、输入QQ:1016738236
10、输入学校：长安大学
11、选择学历：本科
12、输入专业：自动化
13、输入求职意向：软件测试
14、选择工作年限：应届毕业生
15：输入期望薪资：8k
16、选择渠道来源：智联招聘
17、输入应聘职位：软件测试工程师
18、输入年龄：27
19、输入教育经历：2012-2016 长安大学
20、输入工作经历：2019年上海陆鹰软件科技有限公司
21、输入最后跟踪：有意向
22、点击保存按钮","1、打开新增网络资源页面
2、选择成功
3、选择成功
4、输入成功
5、输入成功
6、选择成功
7、选择成功
8、输入成功
9、输入成功
10、输入成功
11、选择成功
12、输入成功
13、输入成功
14、选择成功
15、输入成功
16、选择成功
17、输入成功
18、输入成功
19、输入成功
20、输入成功
21、输入成功
22、保存成功，新增一条资源信息",2,功能测试,"
功能测试阶段"
25397,/市场营销(#444),新增网络资源区域为空点击保存,"1、服务器运行正常
2、登录woniuboss系统
3、点击市场营销模块","1、点击新增网络
2、选择区域为空
3、选择部门：管理部
4、输入电话：13456556748
5、输入姓名：小爱
6、选择性别：女
7、选择最新状态：新入库
8、输入邮箱：1016738236@qq.com
9、输入QQ:1016738236
10、输入学校：长安大学
11、选择学历：本科
12、输入专业：自动化
13、输入求职意向：软件测试
14、选择工作年限：应届毕业生
15：输入期望薪资：8k
16、选择渠道来源：智联招聘
17、输入应聘职位：软件测试工程师
18、输入年龄：27
19、输入教育经历：2012-2016 长安大学
20、输入工作经历：2019年上海陆鹰软件科技有限公司
21、输入最后跟踪：有意向
22、点击保存按钮","1、打开新增网络资源页面
2、不进行选择
3、选择成功
4、输入成功
5、输入成功
6、选择成功
7、选择成功
8、输入成功
9、输入成功
10、输入成功
11、选择成功
12、输入成功
13、输入成功
14、选择成功
15、输入成功
16、选择成功
17、输入成功
18、输入成功
19、输入成功
20、输入成功
21、输入成功
22、保存失败，区域不能为空",2,功能测试,"
功能测试阶段"
